Autor,Data,Texto
CHOQUEI,2026-03-11T12:41:32.000Z,VEJA: Fernanda Montenegro é capa da Vogue Brasil e celebra trajetória de sucesso.
CHOQUEI,2026-03-11T12:35:25.000Z,FAMOSOS: Zé Felipe comenta vídeo de Leonardo com cerveja e neto que gerou repercussão.
CHOQUEI,2026-03-11T12:41:32.000Z,VEJA: Fernanda Montenegro é capa da Vogue Brasil e celebra trajetória de sucesso.
